city,entity_id,__last_seen,text,region,note,street,postal_code,country_code,country_name,street_2,__first_seen
Baghdad,eu-eeas-sanctions.2038,2018-05-01 01:09:57.821378,,,,"Aqaba Bin Nafie Square, P.O. Box 989",,IQ,IRQ,,2018-04-12 07:35:56.111117
Baghdad,eu-eeas-sanctions.2038,2018-05-01 01:09:57.837825,,,,"P.O. Box 989, Karradah Al Sharkiya",,IQ,IRQ,,2018-04-12 07:35:56.127807
Baghdad,eu-eeas-sanctions.2074,2018-05-01 01:09:57.845880,,,,"P.O. Box 5664, Kadhumia",,IQ,IRQ,,2018-04-12 07:35:57.959436
Baghdad,eu-eeas-sanctions.2026,2018-05-01 01:09:58.124534,,,,"P.O. Box 10028, Karrada, No. 19, Hay Al-Wadha, Mahala (904)",,IQ,IRQ,,2018-04-12 07:35:54.607884
,eu-eeas-sanctions.3183,2018-05-01 01:10:00.092278,,,,,,CD,COD,,2018-04-12 07:35:56.194711
,eu-eeas-sanctions.3085,2018-05-01 01:10:00.923504,,,,,,YE,YEM,,2018-04-12 07:35:56.325341
Lanao del Sur,eu-eeas-sanctions.3225,2018-05-01 01:10:01.090198,,,,,,PH,PHL,,2018-04-12 07:35:57.258575
Damascus,eu-eeas-sanctions.6899,2018-05-01 01:10:09.634412,,,,Merjah – Al-Furat St.,,SY,SYR,,2018-04-12 07:36:39.148886
Damascus,eu-eeas-sanctions.6899,2018-05-01 01:10:09.652070,,,,P.O. Box: 5467,,SY,SYR,,2018-04-12 07:36:39.165734
,eu-eeas-sanctions.6943,2018-05-01 01:10:10.239465,,,,,,,,,2018-04-12 07:36:39.715077
Damascus,eu-eeas-sanctions.7038,2018-05-01 01:10:10.239177,,,,616 Salhieh Street,,SY,SYR,,2018-04-12 07:36:41.174212
Aleppo,eu-eeas-sanctions.7096,2018-05-01 01:10:11.206533,,,,Bab Al-Faraj,P.O. Box 729,SY,SYR,,2018-04-12 07:36:43.103945
,eu-eeas-sanctions.7096,2018-05-01 01:10:11.323605,,,,,,,,,2018-04-12 07:36:43.120628
,eu-eeas-sanctions.7203,2018-05-01 01:10:11.781777,,,,,,,,,2018-04-12 07:36:44.824187
Arak,eu-eeas-sanctions.7192,2018-05-01 01:10:11.798474,,,,"Factory: Parcham St, 13th Km of Qom Rd",38135,IR,IRN,,2018-04-12 07:36:46.366803
Tehran,eu-eeas-sanctions.7192,2018-05-01 01:10:11.919935,,,,"Unit 38,5th Fl, Bldg, No 60 Golfam St, Jordan",19395-5716,IR,IRN,,2018-04-12 07:36:46.430308
